"丁","ㄉㄧㄥ"
"刁","ㄉㄧㄠ"
"力","ㄌㄧˋ"
"卜","ㄅㄨˇ"
"于","ㄩˊ"
"才","ㄘㄞˊ"
"元","ㄩㄢˊ"
"尹","ㄧㄣˇ"
"仇","ㄑㄧㄡˊ"
"孔","ㄎㄨㄥˇ"
"尤","ㄧㄡˊ"
"巴","ㄅㄚ"
"水","ㄕㄨㄟˇ"
"文","ㄨㄣˊ"
"方","ㄈㄤ"
"毛","ㄇㄠˊ"
"井","ㄐㄧㄥˇ"
"戈","ㄍㄜ"
"牛","ㄋㄧㄡˊ"
"王","ㄨㄤˊ"
"亣","ㄑㄧˊ"
"介","ㄐㄧㄝˋ"
"丘","ㄑㄧㄡ"
"申","ㄕㄣ"
"安","ㄢ"
"宇","ㄩˇ"
"成","ㄔㄥˊ"
"曲","ㄑㄩ"
"江","ㄐㄧㄤ"
"池","ㄔˊ"
"朱","ㄓㄨ"
"艾","ㄞˋ"
"米","ㄇㄧˇ"
"羊","ㄧㄤˊ"
"衣","ㄧ"
"何","ㄏㄜˊ"
"佟","ㄊㄨㄥˊ"
"但","ㄉㄢˋ"
"余","ㄩˊ"
"佘","ㄕㄜˊ"
"兵","ㄅㄧㄥ"
"冷","ㄌㄥˇ"
"利","ㄌㄧˋ"
"吳","ㄨˊ"
"呂","ㄌㄩˇ"
"宋","ㄙㄨㄥˋ"
"岑","ㄘㄣˊ"
"巫","ㄨˊ"
"沈","ㄕㄣˇ"
"沙","ㄕㄚ"
"李","ㄌㄧˇ"
"季","ㄐㄧˋ"
"花","ㄏㄨㄚ"
"芮","ㄖㄨㄟˋ"
"房","ㄈㄤˊ"
"邱","ㄑㄧㄡ"
"邵","ㄕㄠˋ"
"松","ㄙㄨㄥ"
"孟","ㄇㄥˋ"
"竺","ㄓㄨˊ"
"金","ㄐㄧㄣ"
"門","ㄇㄣˊ"
"岳","ㄩㄝˋ"
"祁","ㄑㄧˊ"
"初","ㄔㄨ"
